0 25
100 1 2
0 0 0
180 4 0
0 0 0
0 1 0
0 2 0
0 1 0
100 1 7
0 3 0
100 4 8
0 0 10
0 4 0
0 5 0
0 6 0
100 4 10
0 3 10
0 7 0
0 8 0
0 9 0
100 1 15
0 20 0
100 2 12
0 21 0
0 20 0
100 1 14
0 22 0
100 2 13
0 23 0
0 22 0
100 4 16
0 20 10
0 24 0
0 25 0
0 26 0
100 4 17
0 22 10
0 27 0
0 28 0
0 29 0
100 1 3
0 10 0
180 4 1
0 10 0
0 11 0
0 12 0
0 11 0
100 1 6
0 13 0
100 4 9
0 10 10
0 14 0
0 15 0
0 16 0
100 4 11
0 13 10
0 17 0
0 18 0
0 19 0
100 1 21
0 30 0
100 2 18
0 31 0
0 30 0
100 1 20
0 32 0
100 2 19
0 33 0
0 32 0
100 4 22
0 30 10
0 34 0
0 35 0
0 36 0
100 4 23
0 32 10
0 37 0
0 38 0
0 39 0
100 1 24
0 40 0
100 1 25
0 41 0
100 1 36
0 42 0
1 6
100 1 7
6 10 0
100 3 0
6 11 0
6 12 0
6 13 0
100 1 4
6 13 0
100 1 6
6 14 0
100 3 1
6 15 0
6 16 0
6 17 0
100 1 5
6 17 0
2 2
100 2 0
6 0 0
6 1 0
100 2 1
6 2 0
6 3 0
3 2
200 3 0
6 20 0
6 21 0
6 22 0
200 3 1
6 23 0
6 24 0
6 25 0
4 6
500 2 0
6 5 0
6 6 0
100 1 2
6 5 0
500 2 1
6 8 0
6 9 0
100 1 3
6 8 0
500 1 8
6 4 0
500 1 9
6 7 0
5 1
100 15 26
16 0 0
16 1 0
16 2 0
16 3 0
16 4 0
16 5 0
16 6 0
16 7 0
16 8 0
16 9 0
16 10 0
16 11 0
16 12 0
16 13 0
16 14 0
6 1
50 2 26
17 1 0
17 2 0
7 2
100 1 37
4 0 0
100 2 26
4 1 0
4 2 0
